Naive Bayes 

203 samples
 61 predictor
  2 classes: '0', '1' 

No pre-processing
Resampling: Cross-Validated (10 fold, repeated 5 times) 
Summary of sample sizes: 182, 182, 183, 183, 182, 182, ... 
Resampling results across tuning parameters:

  usekernel  laplace  adjust  Accuracy   Kappa    
  FALSE      0.000    0.000   0.7344486  0.4586184
  FALSE      0.000    0.375   0.7344486  0.4586184
  FALSE      0.000    0.750   0.7344486  0.4586184
  FALSE      0.000    1.125   0.7344486  0.4586184
  FALSE      0.000    1.500   0.7344486  0.4586184
  FALSE      0.375    0.000   0.7344486  0.4586184
  FALSE      0.375    0.375   0.7344486  0.4586184
  FALSE      0.375    0.750   0.7344486  0.4586184
  FALSE      0.375    1.125   0.7344486  0.4586184
  FALSE      0.375    1.500   0.7344486  0.4586184
  FALSE      0.750    0.000   0.7344486  0.4586184
  FALSE      0.750    0.375   0.7344486  0.4586184
  FALSE      0.750    0.750   0.7344486  0.4586184
  FALSE      0.750    1.125   0.7344486  0.4586184
  FALSE      0.750    1.500   0.7344486  0.4586184
  FALSE      1.125    0.000   0.7344486  0.4586184
  FALSE      1.125    0.375   0.7344486  0.4586184
  FALSE      1.125    0.750   0.7344486  0.4586184
  FALSE      1.125    1.125   0.7344486  0.4586184
  FALSE      1.125    1.500   0.7344486  0.4586184
  FALSE      1.500    0.000   0.7344486  0.4586184
  FALSE      1.500    0.375   0.7344486  0.4586184
  FALSE      1.500    0.750   0.7344486  0.4586184
  FALSE      1.500    1.125   0.7344486  0.4586184
  FALSE      1.500    1.500   0.7344486  0.4586184
   TRUE      0.000    0.000         NaN        NaN
   TRUE      0.000    0.375   0.7074712  0.4119627
   TRUE      0.000    0.750   0.7151328  0.4267195
   TRUE      0.000    1.125   0.7232907  0.4424378
   TRUE      0.000    1.500   0.7252907  0.4469824
   TRUE      0.375    0.000         NaN        NaN
   TRUE      0.375    0.375   0.7074712  0.4119627
   TRUE      0.375    0.750   0.7151328  0.4267195
   TRUE      0.375    1.125   0.7232907  0.4424378
   TRUE      0.375    1.500   0.7252907  0.4469824
   TRUE      0.750    0.000         NaN        NaN
   TRUE      0.750    0.375   0.7074712  0.4119627
   TRUE      0.750    0.750   0.7151328  0.4267195
   TRUE      0.750    1.125   0.7232907  0.4424378
   TRUE      0.750    1.500   0.7252907  0.4469824
   TRUE      1.125    0.000         NaN        NaN
   TRUE      1.125    0.375   0.7074712  0.4119627
   TRUE      1.125    0.750   0.7151328  0.4267195
   TRUE      1.125    1.125   0.7232907  0.4424378
   TRUE      1.125    1.500   0.7252907  0.4469824
   TRUE      1.500    0.000         NaN        NaN
   TRUE      1.500    0.375   0.7074712  0.4119627
   TRUE      1.500    0.750   0.7151328  0.4267195
   TRUE      1.500    1.125   0.7232907  0.4424378
   TRUE      1.500    1.500   0.7252907  0.4469824

Accuracy was used to select the optimal model using the largest value.
The final values used for the model were laplace = 0, usekernel = FALSE and adjust = 0.
